Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

12:37:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:57:21 PM     all      1.61      0.00      0.30      3.53      0.00     94.55
12:57:26 PM     all      0.55      0.00      0.20      0.15      0.00     99.10
12:57:31 PM     all      1.66      0.00      0.60      2.47      0.00     95.26
12:57:36 PM     all      0.45      0.00      0.30      0.10      0.00     99.15
12:57:41 PM     all      0.65      0.00      0.25      0.10      0.00     98.99
12:57:46 PM     all      0.55      0.00      0.20      1.01      0.00     98.24
12:57:51 PM     all      0.80      0.00      0.30      0.15      0.00     98.74
12:57:56 PM     all      1.86      0.00      0.66      2.27      0.00     95.21
12:58:01 PM     all      0.70      0.00      0.30      0.35      0.00     98.64
12:58:06 PM     all      1.56      0.00      0.60      0.35      0.00     97.49
12:58:11 PM     all      0.86      0.00      0.25      0.20      0.00     98.68
12:58:16 PM     all      0.60      0.00      0.15      0.35      0.00     98.89
12:58:21 PM     all      0.60      0.00      0.30      0.25      0.00     98.84
12:58:26 PM     all      0.60      0.00      0.20      0.40      0.00     98.79
12:58:31 PM     all      2.27      0.00      0.86      0.30      0.00     96.57
12:58:36 PM     all      1.11      0.00      0.40      0.40      0.00     98.09
12:58:41 PM     all      1.11      0.00      0.40      0.20      0.00     98.29
12:58:46 PM     all      0.60      0.00      0.20      0.30      0.00     98.90
12:58:51 PM     all      0.65      0.00      0.25      0.20      0.00     98.89
12:58:56 PM     all      0.60      0.00      0.20      0.30      0.00     98.89
12:59:01 PM     all      0.65      0.00      0.35      0.15      0.00     98.84
12:59:06 PM     all      0.65      0.00      0.15      0.30      0.00     98.90
12:59:11 PM     all      1.88      0.00      0.61      0.25      0.00     97.26
12:59:16 PM     all      0.75      0.00      0.15      0.35      0.00     98.74
12:59:21 PM     all      0.75      0.00      0.25      0.25      0.00     98.74
12:59:26 PM     all      0.55      0.00      0.30      0.75      0.00     98.39
12:59:31 PM     all      2.37      0.00      0.76      0.45      0.00     96.42
12:59:36 PM     all      0.60      0.00      0.25      0.30      0.00     98.85
12:59:41 PM     all      0.55      0.00      0.20      0.20      0.00     99.04
12:59:46 PM     all      1.61      0.00      0.45      0.15      0.00     97.79
12:59:51 PM     all      0.65      0.00      0.35      0.00      0.00     99.00
12:59:56 PM     all      2.36      0.00      0.65      0.50      0.00     96.48
01:00:01 PM     all      0.60      0.00      0.30      0.25      0.00     98.84
01:00:06 PM     all      0.55      0.00      0.10      0.35      0.00     98.99
01:00:11 PM     all      1.36      0.00      0.55      0.15      0.00     97.94
01:00:16 PM     all      1.16      0.00      0.30      0.30      0.00     98.24
01:00:21 PM     all      1.11      0.00      0.45      0.10      0.00     98.34
01:00:26 PM     all      0.55      0.00      0.15      0.35      0.00     98.94
01:00:31 PM     all      0.90      0.00      0.50      0.25      0.00     98.34
